City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Tripoli,LY,32.8752,13.1875,83.39,47,0,5.08,clear sky
175,Ust-Nera,RU,64.5667,143.2,68.31,44,45,3.09,scattered clouds
176,Joshimath,IN,30.5667,79.5667,69.62,94,100,1.19,overcast clouds
177,Urucara,BR,-2.5364,-57.76,76.73,73,98,1.92,overcast clouds
178,Fortuna,US,40.5982,-124.1573,70.93,74,20,13.8,few clouds
179,Coihaique,CL,-45.5752,-72.0662,39.81,65,75,3.44,broken clouds
180,Byron Bay,AU,-28.65,153.6167,63.95,52,70,6.96,broken clouds
181,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,40,5.75,light rain
182,Bengkulu,ID,-3.8004,102.2655,75.92,84,63,3.65,broken clouds
183,Port Elizabeth,ZA,-33.918,25.5701,52.11,100,20,3.44,few clouds
184,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,53,0,12.66,clear sky
185,Portland,US,45.5234,-122.6762,99.84,37,20,6.91,few clouds
186,Tiznit,MA,29.5833,-9.5,74.08,55,0,4.14,clear sky
187,Pevek,RU,69.7008,170.3133,35.29,89,100,2.21,overcast clouds
188,Avarua,CK,-21.2078,-159.775,78.85,69,40,20.71,scattered clouds
189,Touros,BR,-5.1989,-35.4608,73.98,84,11,11.16,light rain
190,Kavaratti,IN,10.5669,72.642,78.89,85,100,17.98,overcast clouds
191,Soddy-Daisy,US,35.2359,-85.1908,87.87,68,66,4.34,broken clouds
192,Luderitz,NA,-26.6481,15.1594,55.06,74,0,2.3,clear sky
193,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,94,100,9.33,light intensity drizzle
194,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.32,50,7,1.3,clear sky
195,Jinji,CN,23.2281,110.8261,86.13,71,80,3.85,broken clouds
196,San Patricio,US,28.017,-97.5169,90.54,58,10,14.36,clear sky
197,Vestmannaeyjar,IS,63.4427,-20.2734,52.21,80,86,15.12,overcast clouds
198,Port-Cartier,CA,50.0334,-66.8654,73.08,73,80,7.23,broken clouds
199,Kavieng,PG,-2.5744,150.7967,85.1,71,20,18.52,few clouds
200,Ati,TD,13.2154,18.3353,75.85,73,94,9.37,overcast clouds
201,Ahuimanu,US,21.4447,-157.8378,87.51,59,0,18.41,clear sky
202,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,78,20,14.97,few clouds
203,Filadelfia,US,39.9523,-75.1638,84.22,71,75,9.22,broken clouds
204,Lompoc,US,34.6391,-120.4579,69.85,72,0,12.66,mist
205,Catuday,PH,16.2923,119.8062,82.51,75,100,5.79,overcast clouds
206,Sun City West,US,33.662,-112.3413,97.23,44,75,10.36,broken clouds
207,Georgetown,MY,5.4112,100.3354,81.9,87,20,2.3,few clouds
208,Keti Bandar,PK,24.1447,67.4497,81.66,84,94,10.76,overcast clouds
209,Port Lincoln,AU,-34.7333,135.8667,56.3,71,3,9.71,clear sky
210,Hoi An,VN,15.8794,108.335,84.16,65,12,1.05,few clouds
211,Zhuhai,CN,22.2769,113.5678,86.86,79,20,4.61,few clouds
212,Rincon,US,32.296,-81.2354,85.96,66,40,13.8,scattered clouds
213,Sakakah,SA,29.9697,40.2064,87.37,13,3,10.6,clear sky
214,Port Moresby,PG,-9.4431,147.1797,83.62,74,20,19.57,few clouds
215,Oriximina,BR,-1.7656,-55.8661,78.76,68,50,3.18,scattered clouds
216,Bull Savanna,JM,17.8868,-77.5902,77.67,82,94,4.61,overcast clouds
217,San Quintin,MX,30.4833,-115.95,72.73,69,47,11.3,scattered clouds
218,Neiafu,TO,-18.65,-173.9833,79.48,73,40,10.36,scattered clouds
219,Anloga,GH,5.7947,0.8973,76.01,89,100,17.43,overcast clouds
220,Koumra,TD,8.9126,17.5539,70.32,96,100,2.75,overcast clouds
221,Bonavista,CA,48.6499,-53.1147,62.15,93,26,12.1,scattered clouds
222,Bilibino,RU,68.0546,166.4372,49.71,53,100,2.53,overcast clouds
223,Thiruvananthapuram,IN,8.4833,76.9167,76.98,88,40,5.75,mist
224,Aksarka,RU,66.5606,67.7975,58.12,70,100,10.0,overcast clouds
225,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,76,75,13.8,broken clouds
226,Saint-Augustin,CA,51.226,-58.6502,57.92,88,72,5.77,broken clouds
227,Whitehorse,CA,60.7161,-135.0538,65.01,59,75,12.66,broken clouds
228,Lake Elsinore,US,33.6681,-117.3273,96.39,36,11,7.0,few clouds
229,Batagay-Alyta,RU,67.8006,130.4114,77.67,47,70,4.83,broken clouds
230,Tocopilla,CL,-22.092,-70.1979,62.1,73,92,11.01,overcast clouds
231,Narrabri,AU,-30.3167,149.7833,56.52,69,5,4.0,clear sky
232,Novikovo,RU,51.1537,37.8879,66.16,75,7,2.39,clear sky
233,Shetpe,KZ,44.1667,52.1167,75.78,53,100,1.21,light rain
234,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,0,4.36,clear sky
235,Wonthaggi,AU,-38.6044,145.5913,50.83,75,100,8.5,overcast clouds
236,Beloha,MG,-25.1667,45.05,58.24,80,0,4.9,clear sky
237,Katobu,ID,-4.9408,122.5276,81.93,60,7,9.82,clear sky
238,Lata,PT,40.1629,-8.3327,55.24,92,0,2.37,clear sky
239,Sorkjosen,NO,69.8,20.9333,50.0,87,100,14.97,light rain
240,Fukue,JP,32.6881,128.8419,82.76,83,75,8.05,broken clouds
241,Ribeira Grande,PT,38.5167,-28.7,73.0,86,36,11.07,scattered clouds
242,Kita,ML,13.0349,-9.4895,75.74,93,96,6.31,overcast clouds
243,Basco,PH,20.4487,121.9702,85.32,76,89,11.01,overcast clouds
244,Khatanga,RU,71.9667,102.5,68.72,50,76,1.68,broken clouds
245,Wajima,JP,37.4,136.9,83.08,83,75,2.3,broken clouds
246,Belica,BG,41.9569,23.5725,68.81,68,52,3.38,broken clouds
247,Erenhot,CN,43.6475,111.9767,79.23,24,33,7.25,scattered clouds
248,Bonthe,SL,7.5264,-12.505,74.7,90,100,5.03,light rain
249,Kuala Lipis,MY,4.1842,102.0468,76.3,92,44,0.31,scattered clouds
250,Ruy Barbosa,BR,-12.2839,-40.4939,63.52,91,4,1.57,clear sky
251,Raudeberg,NO,61.9875,5.1352,48.87,71,28,7.07,scattered clouds
252,Hokitika,NZ,-42.7167,170.9667,49.77,89,100,6.26,overcast clouds
253,San Benito,US,36.6166,-121.0844,87.85,24,1,8.68,clear sky
254,Coahuayana,MX,18.7333,-103.6833,82.0,76,100,2.37,overcast clouds
255,Mandalgovi,MN,45.7625,106.2708,64.22,46,100,21.47,overcast clouds
256,Namibe,AO,-15.1961,12.1522,62.53,81,73,8.16,broken clouds
257,Nemuro,JP,43.3236,145.575,63.9,94,64,6.85,broken clouds
