City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Klaksvik,FO,62.2266,-6.589,50.92,86,99,7.63,overcast clouds
254,Georgiyevka,KZ,43.0369,74.7114,77.04,41,0,11.18,clear sky
255,Minab,IR,27.1467,57.0801,82.2,86,100,1.05,light rain
256,Yulara,AU,-25.2406,130.9889,57.07,32,0,13.56,clear sky
257,Blackpool,GB,53.8167,-3.05,55.89,73,80,2.73,broken clouds
258,Hambantota,LK,6.1241,81.1185,75.54,100,20,2.3,few clouds
259,Ilhabela,BR,-23.7781,-45.3581,66.94,91,22,3.42,few clouds
260,Sept-Iles,CA,50.2001,-66.3821,64.06,81,81,1.01,broken clouds
261,Kikwit,CD,-5.041,18.8162,73.33,35,100,1.79,overcast clouds
262,Waingapu,ID,-9.6567,120.2641,82.42,57,78,15.88,broken clouds
263,Tateyama,JP,34.9833,139.8667,84.13,84,75,8.05,broken clouds
264,Bubaque,GW,11.2833,-15.8333,79.59,77,68,9.73,broken clouds
265,Kardailovo,RU,51.5386,53.9042,66.63,82,84,4.32,broken clouds
266,Ambon,ID,-3.6954,128.1814,82.54,74,75,9.22,broken clouds
267,Inirida,CO,3.8653,-67.9239,74.68,92,100,2.28,overcast clouds
268,Diplo,PK,24.4667,69.584,81.73,83,83,10.49,broken clouds
269,Loandjili,CG,-4.7561,11.8578,68.74,91,76,4.76,broken clouds
270,Florida,US,28.7505,-82.5001,73.38,100,0,0.0,clear sky
271,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.08,97,87,1.43,overcast clouds
272,Hervey Bay,AU,-25.2986,152.8535,61.79,45,0,15.84,clear sky
273,Korla,CN,41.7597,86.1469,90.25,15,5,3.38,clear sky
274,Goderich,CA,43.7501,-81.7165,65.91,63,64,4.83,broken clouds
275,Sung Noen,TH,14.8992,101.8207,90.66,100,78,1.14,broken clouds
276,Bilma,NE,18.6853,12.9164,87.69,12,49,5.37,scattered clouds
277,Kavieng,PG,-2.5744,150.7967,85.41,63,50,12.62,scattered clouds
278,La Ronge,CA,55.1001,-105.2842,61.02,77,75,4.61,broken clouds
279,Marathon,US,44.9,-89.7668,74.73,76,100,3.44,overcast clouds
280,Joshimath,IN,30.5667,79.5667,72.16,91,95,1.83,overcast clouds
281,Walvis Bay,NA,-22.9575,14.5053,52.9,76,1,3.65,clear sky
282,Tongliao,CN,43.6125,122.2653,84.24,54,54,14.52,broken clouds
283,Gua Musang,MY,4.8823,101.9644,80.92,83,86,2.01,overcast clouds
284,Saint George,US,37.1041,-113.5841,94.62,32,40,11.5,scattered clouds
285,Manaus,BR,-3.1019,-60.025,84.69,70,40,3.44,scattered clouds
286,Takaka,NZ,-40.85,172.8,54.55,84,70,9.8,broken clouds
287,Cap Malheureux,MU,-19.9842,57.6142,67.46,76,9,1.99,clear sky
288,Aklavik,CA,68.2191,-135.0107,64.96,32,100,20.49,overcast clouds
289,Tulun,RU,54.5611,100.5792,63.05,58,85,4.76,overcast clouds
290,Kapit,MY,2.0167,112.9333,81.07,81,100,2.51,overcast clouds
291,Neiafu,TO,-18.65,-173.9833,76.41,70,100,15.12,overcast clouds
292,Isangel,VU,-19.55,169.2667,82.51,78,75,4.61,broken clouds
293,Mae Sai,TH,20.4335,99.8762,83.17,69,45,0.78,scattered clouds
294,Slave Lake,CA,55.2834,-114.769,69.96,56,3,0.29,clear sky
295,Maningrida,AU,-12.0667,134.2667,82.65,41,11,14.03,few clouds
296,Mecca,SA,21.4267,39.8261,86.7,56,80,2.01,broken clouds
297,Canton,CN,23.1167,113.25,89.55,48,0,5.64,clear sky
298,Beringovskiy,RU,63.05,179.3167,46.36,96,100,11.61,light rain
299,Krasnoselkup,RU,65.7,82.4667,61.0,69,100,8.86,light rain
300,Russkaya Polyana,UA,49.417,31.9201,60.91,82,0,1.92,clear sky
