City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
547,Puri,IN,79.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
548,Olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
549,Tonantins,BR,74.39,broken clouds,-2.8731,-67.8022,Hotel Hortensias
551,Domoni,KM,73.2,clear sky,-12.2569,44.5319,Al Djadid
555,Kankon,IN,76.8,broken clouds,15.0167,74.0167,Palolem Beach Resort
559,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
565,Mazamari,PE,72.12,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
568,Drayton Valley,CA,74.68,clear sky,53.2168,-114.9854,Service Plus Inns & Suites (Drayton Valley Hotel)
570,Itarema,BR,79.05,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
576,Aleppo,SY,78.21,clear sky,36.25,37.5,أمل دوريش
578,Luang Prabang,LA,78.76,few clouds,19.8856,102.1347,The Apsara
594,Palu,ID,78.22,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
595,Porto Empedocle,IT,78.31,clear sky,37.2934,13.5264,Hotel dei Pini
598,Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
599,Anau,PF,79.05,light rain,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
602,Fare,PF,78.24,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
603,Guiyang,CN,70.29,overcast clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
610,Nantucket,US,75.99,clear sky,41.2835,-70.0995,Jared Coffin House
613,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
617,Buchanan,LR,74.86,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
620,Estevan,CA,70.21,few clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
628,Pontes E Lacerda,BR,74.03,clear sky,-15.2261,-59.3353,Hotel Bressan
640,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
641,Presidencia Roque Saenz Pena,AR,76.05,broken clouds,-26.7852,-60.4388,Hotel Gualok
642,Jardim,BR,72.7,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
646,Escarcega,MX,78.82,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
655,Vitim,RU,73.69,overcast clouds,59.4511,112.5578,Gostinitsa V Apteke
660,Panama City,PA,78.75,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
662,Halvad,IN,79.61,overcast clouds,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
666,Eirunepe,BR,78.73,scattered clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
668,Wajir,KE,70.47,overcast clouds,1.7471,40.0573,Mahatallah Hotel
675,Silver City,US,75.16,scattered clouds,32.7701,-108.2803,Copper Manor Motel
682,Muncar,ID,77.7,overcast clouds,-8.4333,114.3333,Zaky Homestay
685,Sept-Iles,CA,73.4,scattered clouds,50.2001,-66.3821,Comfort Inn
688,Wang Saphung,TH,78.82,few clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
689,Noshiro,JP,77.83,clear sky,40.2039,140.0242,Suigetsu
692,Cusuna,HN,78.42,clear sky,15.85,-85.2333,San Francisco de la paz
